id,equipamento_id,data_movimentacao,origem_local,origem_unidade,destino_local,destino_unidade,tipo_movimento,responsavel,observacoes,contador_mono_anterior,contador_mono_novo,contador_color_anterior,contador_color_novo
1656,626,2026-04-10,Joamar,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1657,631,2026-04-10,Wamberto dias,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1658,706,2026-04-10,UPA Jaçanã,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1659,775,2026-04-10,Vila Dirce,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1660,775,2026-04-10,CAT,,Ama Capão,,saida_cliente,,Envio para cliente,,,,
1661,705,2026-04-10,Ama Capão,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1662,856,2026-04-11,CAT,,Porsche Matriz,,saida_cliente,,Envio para cliente,,,,
1663,857,2026-04-14,CAT,,Atix,,saida_cliente,,Envio para cliente,,,,
1664,858,2026-04-14,Atix,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1665,690,2026-04-15,Hospital de Amparo,,R10,,retorno_cliente,,Retorno de cliente,,,,
1666,859,2026-04-17,Mercadão Pereque,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1667,618,2026-04-17,CAT,,Mercadão Pereque,,saida_cliente,,Envio para cliente,,,,
1668,519,2026-04-17,Parque Novo Sto Amaro,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1669,860,2026-04-17,CAT,,Parque Novo Sto Amaro,,saida_cliente,,Envio para cliente,,,,
1670,614,2026-04-19,P.S Santana,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1671,731,2026-04-21,CAT,,Vera Cruz,,saida_cliente,,Envio para cliente,,,,
1672,756,2026-04-21,Vera Cruz,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1673,614,2026-04-24,P.S Santana,,HD MboiMirim Vera Cruz,,saida_cliente,,Envio para cliente,,,,
1674,754,2026-04-24,HD MboiMirim Vera Cruz,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1675,705,2026-04-25,R10,,CAT,,retorno_manutencao,,Retorno de manutenção,,,,
1676,690,2026-04-25,R10,,CAT,,retorno_manutencao,,Retorno de manutenção,,,,
1677,750,2026-04-26,CAT,,Centro de Exames da Mulher (Capela do Socorro) US,,saida_cliente,,Envio para cliente,,,,
1678,732,2026-04-26,Centro de Exames da Mulher (Capela do Socorro) US,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1679,583,2026-04-26,Centro de Exames da Mulher (Capela do Socorro) US,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1680,750,2026-04-30,Centro de Exames da Mulher (Capela do Socorro) US,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1681,631,2026-04-30,CAT,,Centro de Exames da Mulher (Capela do Socorro) US,,saida_cliente,,Envio para cliente,,,,
1682,727,2026-05-05,CAT,,Complexo de Saúde Dr. Antonio João Abdalla ( Cajamar),,saida_cliente,,Envio para cliente,,,,
1683,728,2026-05-06,Mercadão Praia Grande,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1684,859,2026-05-06,CAT,,Mercadão Praia Grande,,saida_cliente,,Envio para cliente,,,,
1685,705,2026-05-12,CAT,,Complexo de Saúde Dr. Antonio João Abdalla ( Cajamar),,saida_cliente,,Envio para cliente,,,,
1686,861, ,CAT,,Hosp Justino Luz (Piaui),,saida_cliente,,Envio para cliente,,,,
1687,862,2026-06-17,CAT,,Hosp Justino Luz (Piaui),,saida_cliente,,Envio para cliente,,,,
1688,863,2026-06-17,CAT,,Hosp Justino Luz (Piaui),,saida_cliente,,Envio para cliente,,,,
1689,864,2026-06-17,CAT,,Hosp Justino Luz (Piaui),,saida_cliente,,Envio para cliente,,,,
1690,865,2026-06-17,CAT,,Hosp Justino Luz (Piaui),,saida_cliente,,Envio para cliente,,,,
1691,681,2026-06-17,CAT,,Hosp Justino Luz (Piaui) P,,saida_cliente,,Envio para cliente,,,,
1692,616,2026-06-17,CAT,,Hosp Justino Luz (Piaui) L,,saida_cliente,,Envio para cliente,,,,
1693,591,2026-06-17,CAT,,Hosp Justino Luz (Piaui) BK,,saida_cliente,,Envio para cliente,,,,
1694,775,2026-05-20,Ama Capão,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1695,514,2026-05-20,CAT,,Ama Capão,,saida_cliente,,Envio para cliente,,,,
1696,518,2026-05-21,CAT,,Humana Verbo Divino,,saida_cliente,,Envio para cliente,,,,
1697,866,2026-05-26,CAT,,São Luis,,saida_cliente,,Envio para cliente,,,,
1698,524,2026-05-26,São Luis,,R10,,retorno_cliente,,Retorno de cliente,,,,
1699,728,2026-05-26,CAT,,Mercadão Enseada,,saida_cliente,,Envio para cliente,,,,
1700,867,2026-05-28,CAT,,Hosp Ipiranga 4id,,saida_cliente,,Envio para cliente,,,,
