id,codigo,tipo_equipamento,fabricante,modelo,numero_serie,patrimonio,status,unidade_id,local_atual_nome,cliente_atual,observacoes,contador_mono,contador_color,data_cadastro,ativo
610,RCH-IMP-000099,impressora,Oki,OKI C711,ak31047994d0,,ativo,,R10,,,51840,263438,2026-06-17 11:50:04,1
611,RCH-IMP-000100,impressora,Oki,OKI ES5112,ak5c034554,,ativo,,Ama Capela,,Atoalndo papel as vezes,131182,0,2026-06-17 11:50:04,1
612,RCH-IMP-000101,impressora,Oki,OKIC831,al4c037939,,ativo,,HMU-Samir-Gru,,,6668,9924,2026-06-17 11:50:04,1
613,RCH-IMP-000102,impressora,Oki,OKI C911,al9a009722,,ativo,,R10 - SP,,,9194,9471,2026-06-17 11:50:04,1
614,RCH-IMP-000103,impressora,Oki,OKI ES5112,ak92018120,,ativo,,Posto de Atendimento Imediato José Zanedin (Sta Cruz das Palmeiras) P,,Band 1 não funciona,186725,0,2026-06-17 11:50:04,1
615,RCH-IMP-000104,impressora,Oki,OKI ES5112,ak5c036741,,ativo,,HM Brasilandia - Samir,,,605,0,2026-06-17 11:50:04,1
616,RCH-IMP-000105,impressora,Oki,OKI ES5112,ak73003781,,ativo,,Hosp Justino Luz (Piaui) L,,,169697,0,2026-06-17 11:50:04,1
617,RCH-IMP-000106,impressora,Oki,OKI C711,ak74032473,,ativo,,Hosp Geral de Arraial do Cabo (P),,,1827,10885,2026-06-17 11:50:04,1
618,RCH-IMP-000107,impressora,Oki,OKI C711,ak81024008,,ativo,,Mercadão Pereque,,,14438,97831,2026-06-17 11:50:04,1
619,RCH-IMP-000108,impressora,Epson,EPSON L3150,x5eve09518,,ativo,,R10 - SP,,Impressora em estado de erro,17728,0,2026-06-17 11:50:04,1
620,RCH-IMP-000109,impressora,Epson,EPSON L3210,xaaa083696,,ativo,,Upa Sta Helena,,,6505,0,2026-06-17 11:50:04,1
621,RCH-IMP-000110,impressora,Oki,OKI C711,ak9a006520d0,,ativo,,R10,,não reconhece drum M,0,0,2026-06-17 11:50:04,1
